test_id,kind,candidate_vulkan_outcome,candidate_vulkan_framebuffer_fnv1a64,candidate_opengl_outcome,candidate_opengl_framebuffer_fnv1a64,previous_main_opengl_outcome,previous_main_opengl_framebuffer_fnv1a64
busy_pfifo.pfifo_saturation,leaf,PASS,1508607624bb8506,PASS,1508607624bb8506,PASS,1508607624bb8506
busy_pfifo.pgraph_pattern_polling,leaf,PASS,386d0f085e98c325,PASS,386d0f085e98c325,PASS,386d0f085e98c325
cpu_floating_point.sse_scalar,leaf,PASS,6962077c244da325,PASS,6962077c244da325,PASS,6962077c244da325
cpu_floating_point.x87_scalar,leaf,PASS,6962077c244da325,PASS,6962077c244da325,PASS,6962077c244da325
cpu_translation_blocks.direct_loop,leaf,PASS,bd1fc9bf0c318325,PASS,bd1fc9bf0c318325,PASS,bd1fc9bf0c318325
cpu_translation_blocks.indirect_dispatch,leaf,PASS,c0426cf669a02325,PASS,c0426cf669a02325,PASS,c0426cf669a02325
cpu_translation_blocks.indirect_dispatch_stress,leaf,PASS,fbd507cb0c622325,PASS,fbd507cb0c622325,PASS,fbd507cb0c622325
fill_rate.solid,leaf,PASS,08b0f60773aac775,PASS,08b0f60773aac775,PASS,08b0f60773aac775
fill_rate.textured,leaf,PASS,99b433323df1684d,PASS,99b433323df1684d,PASS,99b433323df1684d
game_load.long_unlocked_scene.cpu,leaf,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325
game_load.long_unlocked_scene.pfifo,leaf,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325
game_load.long_unlocked_scene.alpha_overdraw,leaf,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325
game_load.long_unlocked_scene.streaming_surface_reuse,leaf,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325
game_load.long_unlocked_scene.combined,leaf,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325
game_load.long_unlocked_scene.full_system,leaf,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325
game_load.long_unlocked_scene,group,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325,PASS,4efd9244c4ad2325
game_load.cross_title_hotpath.queued_vertex_cpu_writes,leaf,PASS,ea21c900993ea325,PASS,ea21c900993ea325,PASS,ea21c900993ea325
game_load.cross_title_hotpath.pgr2_small_draws,leaf,PASS,151015a16ca46325,PASS,151015a16ca46325,PASS,151015a16ca46325
game_load.cross_title_hotpath.texture_update_reuse,leaf,PASS,44fcd2c900a5a325,PASS,44fcd2c900a5a325,PASS,44fcd2c900a5a325
game_load.cross_title_hotpath.surface_reuse,leaf,PASS,37f87c4938cd6325,PASS,37f87c4938cd6325,PASS,37f87c4938cd6325
game_load.cross_title_hotpath.pipeline_state_churn,leaf,PASS,4f8b2eab497ca325,PASS,4f8b2eab497ca325,PASS,4f8b2eab497ca325
game_load.cross_title_hotpath.blend_constant_reuse,leaf,PASS,58e80f99c5a56325,PASS,58e80f99c5a56325,PASS,58e80f99c5a56325
game_load.cross_title_hotpath.texture_binding_reuse,leaf,PASS,6b9bae4b9c97a325,PASS,6b9bae4b9c97a325,PASS,6b9bae4b9c97a325
game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,leaf,PASS,2b9db92162606325,PASS,2b9db92162606325,PASS,2b9db92162606325
game_load.cross_title_hotpath.scaled_surface_pressure,leaf,PASS,32a69ec6dce52325,PASS,32a69ec6dce52325,PASS,32a69ec6dce52325
game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,PASS,1a65246e1a0ea325,PASS,1a65246e1a0ea325,PASS,1a65246e1a0ea325
game_load.cross_title_hotpath.gpu_wait_control,leaf,PASS,e30500792076e325,PASS,e30500792076e325,PASS,e30500792076e325
game_load.cross_title_hotpath,group,PASS,e30500792076e325,PASS,e30500792076e325,PASS,e30500792076e325
game_load.s3tc_sync_factor.dxt1_same_address_wait,leaf,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5
game_load.s3tc_sync_factor.dxt1_same_address_queued,leaf,PASS,da3ae6a85d37b876,PASS,f7014ea3d504d6f3,PASS,7010eb72f4ace809
game_load.s3tc_sync_factor.dxt1_ring_payload_generations,leaf,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5
game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,leaf,PASS,428c04bbb0a62725,PASS,428c04bbb0a62725,PASS,428c04bbb0a62725
game_load.s3tc_sync_factor.rgba8_same_address_wait,leaf,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5
game_load.s3tc_sync_factor.rgba8_same_address_queued,leaf,PASS,3e46488252209a7f,PASS,42278d1a6c7d7dc4,PASS,2fc8f2d7406c51b6
game_load.s3tc_sync_factor.rgba8_ring_payload_generations,leaf,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5
game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,leaf,PASS,428c04bbb0a62725,PASS,428c04bbb0a62725,PASS,428c04bbb0a62725
game_load.s3tc_sync_factor.bc2_native_eligible,leaf,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5
game_load.s3tc_sync_factor.bc2_bordered_fallback,leaf,PASS,db28300321744de5,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5
game_load.s3tc_sync_factor.bc3_native_eligible,leaf,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5
game_load.s3tc_sync_factor.bc3_bordered_fallback,leaf,PASS,db28300321744de5,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5
game_load.s3tc_sync_factor,group,PASS,db28300321744de5,PASS,3403675459d4d3d5,PASS,3403675459d4d3d5
game_load.repeated_display,leaf,PASS,e758dbbf4edc2325,PASS,e758dbbf4edc2325,PASS,e758dbbf4edc2325
game_load.repeated_display_boosted,leaf,PASS,60315b1c33b6a325,PASS,60315b1c33b6a325,PASS,60315b1c33b6a325
game_load.doax_menu_representative.cpu_only,leaf,PASS,c9ffff20249e2325,PASS,c9ffff20249e2325,PASS,c9ffff20249e2325
game_load.doax_menu_representative.pfifo_only,leaf,PASS,db52eb2ea2ee6325,PASS,db52eb2ea2ee6325,PASS,db52eb2ea2ee6325
game_load.doax_menu_representative.gpu_only,leaf,PASS,fbd6d6be7f982325,PASS,fbd6d6be7f982325,PASS,fbd6d6be7f982325
game_load.doax_menu_representative.streaming_only,leaf,PASS,f94303d175056325,PASS,f94303d175056325,PASS,f94303d175056325
game_load.doax_menu_representative.cpu_pfifo_gpu,leaf,PASS,04157941d1aa6325,PASS,04157941d1aa6325,PASS,04157941d1aa6325
game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,leaf,PASS,e6d7900d809f6325,PASS,e6d7900d809f6325,PASS,e6d7900d809f6325
game_load.doax_menu_representative.full_system,leaf,PASS,3ebb8ee340a52325,PASS,3ebb8ee340a52325,PASS,3ebb8ee340a52325
game_load.doax_menu_stress.cpu_only,leaf,PASS,312802588e58a325,PASS,312802588e58a325,PASS,312802588e58a325
game_load.doax_menu_stress.pfifo_only,leaf,PASS,6251472ce3a6e325,PASS,6251472ce3a6e325,PASS,6251472ce3a6e325
game_load.doax_menu_stress.gpu_only,leaf,PASS,30126b41ecb96325,PASS,30126b41ecb96325,PASS,30126b41ecb96325
game_load.doax_menu_stress.streaming_only,leaf,PASS,5b922e3ee1312325,PASS,5b922e3ee1312325,PASS,5b922e3ee1312325
game_load.doax_menu_stress.cpu_pfifo_gpu,leaf,PASS,c94959246d55a325,PASS,c94959246d55a325,PASS,c94959246d55a325
game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,leaf,PASS,5dbf320b91a86325,PASS,5dbf320b91a86325,PASS,5dbf320b91a86325
game_load.doax_menu_stress.full_system,leaf,PASS,545f7965debce325,PASS,545f7965debce325,PASS,545f7965debce325
game_load.pgr2_ai_backup.cpu_only,leaf,PASS,e086b0a920c42325,PASS,e086b0a920c42325,PASS,e086b0a920c42325
game_load.pgr2_ai_backup.pfifo_only,leaf,PASS,5bc1b07714da2325,PASS,5bc1b07714da2325,PASS,5bc1b07714da2325
game_load.pgr2_ai_backup.gpu_only,leaf,PASS,f8348ac6eeaaa325,PASS,f8348ac6eeaaa325,PASS,f8348ac6eeaaa325
game_load.pgr2_ai_backup.streaming_only,leaf,PASS,f43007e31b972325,PASS,f43007e31b972325,PASS,f43007e31b972325
game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,PASS,48c0585f003ea325,PASS,48c0585f003ea325,PASS,48c0585f003ea325
game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,PASS,e0430415b6dbe325,PASS,e0430415b6dbe325,PASS,e0430415b6dbe325
game_load.pgr2_ai_backup.full_system,leaf,PASS,cb91c33db5046325,PASS,cb91c33db5046325,PASS,cb91c33db5046325
high_vertex_count.arrays,leaf,PASS,a27c67890c2d9083,PASS,a27c67890c2d9083,PASS,a27c67890c2d9083
high_vertex_count.inline_arrays,leaf,PASS,a27c67890c2d9083,PASS,a27c67890c2d9083,PASS,a27c67890c2d9083
high_vertex_count.inline_buffers,leaf,PASS,a27c67890c2d9083,PASS,a27c67890c2d9083,PASS,a27c67890c2d9083
high_vertex_count.inline_elements,leaf,PASS,a27c67890c2d9083,PASS,a27c67890c2d9083,PASS,a27c67890c2d9083
pfifo_array_elements.array_element_pgr2,leaf,PASS,bbc8b0702ffd0325,PASS,bbc8b0702ffd0325,PASS,bbc8b0702ffd0325
pfifo_array_elements.array_element16,leaf,PASS,9c884de2a5d32325,PASS,9c884de2a5d32325,PASS,9c884de2a5d32325
